rho_env,q_exec,action_corr_baseline,action_corr_recognition,recognition_corr_increment,fraction_policy_changed,"Corr(Y1,U1)","Corr(B,A1)",policy_gain,QBS_gain,total_FP_gain,decomposition_error,E[S1],"Cov(U1,S1)",P0_top20,P1_global_top20,P1_FP_top20,tail_policy_gain,tail_QBS_gain,tail_total_gain
0.0,1.0,0.00017902956604138072,0.00034069874327779365,0.00016166917723641294,0.5006712962962963,0.6187046094861147,0.6692071404873636,0.14240999440289104,0.17379533550308143,0.3162053299059725,0.0,0.6400418557006461,0.11123628904750862,0.2,0.20876851851851852,0.280979614590419,0.008768518518518509,0.07221109607190046,0.08097961459041897
0.15,1.0,0.002009959152400566,0.0672145030425761,0.06520454389017553,0.49925462962962963,0.6198008443196259,0.6692013208092914,0.14253515683629736,0.17365322078734205,0.31618837762363944,5.551115123125783e-17,0.6399430010312962,0.11112816324940195,0.2,0.20883333333333334,0.2811529322356645,0.008833333333333332,0.07231959890233117,0.0811529322356645
0.35,1.0,0.00010350250385145969,0.15997949739550132,0.15987599489164986,0.4994490740740741,0.6186064004494778,0.6692834333631886,0.14121853982919375,0.17295652227513367,0.31417506210432744,0.0,0.6398726347222365,0.11067014560058497,0.2,0.20880555555555555,0.2809734655524471,0.008805555555555539,0.07216790999689157,0.08097346555244711
0.6,1.0,-0.0010652879503198049,0.2732289135437034,0.27429420149402317,0.5011296296296296,0.6172767507312904,0.6660722683751014,0.14134269107083564,0.1724426958295695,0.31378538690040514,0.0,0.6396498436699055,0.1103029434294012,0.2,0.20849537037037036,0.2803197097298013,0.008495370370370348,0.07182433935943094,0.08031970972980129
0.8,1.0,-0.0010271549685534473,0.3823968903375831,0.38342404530613655,0.49731018518518516,0.6196558549646777,0.6695884026960626,0.14213742255943762,0.17336600791315224,0.3155034304725899,0.0,0.6392729559781838,0.11082820034477803,0.2,0.20875462962962962,0.28152735941042206,0.008754629629629612,0.07277272978079244,0.08152735941042205
0.95,1.0,-0.001248420167543239,0.46169116540516675,0.46293958557271,0.5001898148148148,0.6189715294981666,0.6655782149416869,0.14133230338801595,0.17333917294516063,0.31467147633317655,-5.551115123125783e-17,0.6397855901473726,0.11089990505837707,0.2,0.20879629629629629,0.28100081227150314,0.008796296296296274,0.07220451597520686,0.08100081227150313
