rho_env,action_corr_baseline,action_corr_recognition,action_corr_increment,policy_gain,QBS_gain,total_FP_gain
0.0,0.000521966633141837,0.0005249544453560927,2.987812214255681e-06,0.14081579140401634,0.17202694878530334,0.3128427401893197
0.15,0.000521966633141837,0.066444205402358,0.06592223876921616,0.14060139578579753,0.17184040140644252,0.3124417971922401
0.35,0.000521966633141837,0.1575789898396149,0.15705702320647308,0.14045627828081306,0.1716436319063604,0.3120999101871734
0.6,0.000521966633141837,0.27498816234398876,0.2744661957108469,0.1404545655412075,0.1713152451795206,0.31176981072072807
0.8,0.000521966633141837,0.3765092932198709,0.37598732658672906,0.14037850612088504,0.17103991092307883,0.3114184170439639
0.95,0.000521966633141837,0.46120259659314894,0.4606806299600071,0.14022008820366827,0.1707940841873408,0.31101417239100904
