gain,metric,mean,CI95_low,CI95_high,n
0.15,corr_signal_utility,0.8823282917491612,0.8815482991154374,0.8831082843828849,8
0.15,delta_policy,0.5494847587316888,0.5474200529429019,0.5515494645204757,8
0.15,delta_QBS,0.36303541863602434,0.3618901824469119,0.3641806548251368,8
0.15,delta_total,0.9125201773677132,0.9105584911055546,0.9144818636298717,8
0.6,corr_signal_utility,0.9372257841941661,0.9366076581981044,0.9378439101902278,8
0.6,delta_policy,0.5686893745294941,0.567529105633772,0.5698496434252162,8
0.6,delta_QBS,0.4017569958493955,0.4010124602212064,0.4025015314775846,8
0.6,delta_total,0.9704463703788895,0.9689873565381544,0.9719053842196246,8
0.9,corr_signal_utility,0.941414186049711,0.9409980228154672,0.9418303492839549,8
0.9,delta_policy,0.5763910501620264,0.5738525266331063,0.5789295736909466,8
0.9,delta_QBS,0.4153315824404447,0.41444918521313084,0.4162139796677586,8
0.9,delta_total,0.9917226326024713,0.9897472437832772,0.9936980214216654,8
