metric,mean,CI95_low,CI95_high,n
interaction,-0.23120558798843419,-0.23165318075926328,-0.2307579952176051,20
targeting,-0.2397660358461174,-0.24008856235674583,-0.23944350933548894,20
selector_shift,0.008560447857683126,0.00835496510237888,0.008765930612987373,20
selector_changed,0.04578,0.04522651241718763,0.046333487582812374,20
