recognition_probability,delta_action_pair_corr_shared_minus_ind,delta_recognition_pair_corr,delta_QBS_uplift,delta_FP_mean
0.1,0.02804826328591703,0.999338768845189,0.00029695743455782075,0.0009114708178399322
0.25,0.052067656746827666,0.9983273952704695,-0.00012901045073085426,-0.0003596847674301462
0.5,0.06868286416576526,0.9997183585513907,-0.0009082400050489381,-0.0015022121211075157
0.75,0.05340742445650856,0.9998399992673868,-0.0015170461272571156,-0.0020059065408228882
0.9,0.022651516768448038,0.9996980676315004,-0.0010613670737003034,-0.0016452201523762255
