noise_sigma,replicate,evaluator,corr,mean_uplift,tail_gain
2.0,4,interaction_4param,0.4487424550767274,0.23767586451643072,0.05820297528832144
2.0,4,random_control,-0.0006007536201588723,0.0007009742401758466,0.00027852999397229294
2.0,5,linear_3param,-0.0016775835691853831,-0.0028980455196818762,-0.0021807954687502185
2.0,5,interaction_4param,0.44743999849926785,0.22997600534260587,0.05541158922665554
2.0,5,random_control,0.002820056520791327,0.00041404583379812043,0.0005322238161734605
2.0,6,linear_3param,0.0006974693270539943,-0.0005018964084429822,-0.0010302402614932316
2.0,6,interaction_4param,0.4496427891812729,0.2352060207007223,0.055912299955866246
2.0,6,random_control,-5.021385289730127e-05,-0.0007395148897872081,0.0016351309855100193
2.0,7,linear_3param,-0.0003410819627857534,0.0007353503437920462,-0.0006127811517484816
2.0,7,interaction_4param,0.44221798461768574,0.2401916309834379,0.05828824514251668
2.0,7,random_control,0.002927501786231995,0.002737980709126876,0.001032328334017757
2.0,8,linear_3param,0.0016124351371980912,0.0025894828352542943,0.0008319150723420377
2.0,8,interaction_4param,0.44938977137581365,0.23351221287894158,0.05567729945291677
2.0,8,random_control,-0.0005640529468576012,-0.0005975645795058367,0.0005275665743057489
2.0,9,linear_3param,-0.0021136892374082044,0.0031766735146291935,0.0006707858979067283
2.0,9,interaction_4param,0.4435348181654367,0.2295254352193664,0.05453693147091099
2.0,9,random_control,-0.0004942349242586458,-0.0027285289355483753,-0.0005129341654304675
2.0,10,linear_3param,0.0036918318441323526,0.002797117210383702,2.5052644613388075e-05
2.0,10,interaction_4param,0.44284527658826617,0.2248496986137307,0.05377095027023937
2.0,10,random_control,-0.0010191846569848264,0.0006736844244836969,0.00025799182983932134
2.0,11,linear_3param,0.0014337087294602551,-0.0018893558390796774,-0.0007226528915175168
2.0,11,interaction_4param,0.44584399136351294,0.22924003856719588,0.055058114281570675
2.0,11,random_control,0.0015210548971362787,0.002153761181184536,0.00019578771970202302
