case,V0,V1,effect
label_only_no_policy_no_selector,0.0007643432055849919,0.0007643432055849919,0.0
selector_only,0.0007643432055849919,0.42159217362465407,0.42082783041906907
policy_only,0.0007643432055849919,0.1282583968677702,0.12749405366218522
policy_plus_selector,0.0007643432055849919,0.45803873553222313,0.45727439232663813
