q,rho_env,action_corr_baseline,action_corr_recognition,recognition_corr_increment,fraction_policy_changed,"Corr(Y,U1)",policy_gain,QBS_gain,total_FP_gain,decomposition_error,E[S],tail_policy_gain,tail_QBS_gain,tail_total_gain
0.0,0.6,0.0007204105883167485,0.0007204105883167485,0.0,0.0,0.7002817831395356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.6,-0.00031330455552190705,0.0034277944379208737,0.0037410989934427807,0.05010185185185185,0.6910609828411506,0.01437446039529855,0.018173266772293153,0.03254772716759172,1.3877787807814457e-17,0.9595299024394868,0.0007500000000000007,0.005396973411150141,0.006146973411150142
0.2,0.6,0.0005429235613991352,0.010115131264819194,0.00957220770342006,0.10077314814814815,0.6895198647440172,0.028674321194305186,0.03684408657635894,0.06551840777066414,2.7755575615628914e-17,0.9200451794895899,0.001814814814814797,0.011208430304584266,0.013023245119399063
0.30000000000000004,0.6,-0.0018487593152095288,0.02349590226514793,0.02534466158035746,0.1492962962962963,0.6814770629769721,0.04193206280448036,0.055159026917573704,0.09709108972205407,0.0,0.8811873589839132,0.0025416666666666643,0.017337747391333147,0.01987941405799981
0.4,0.6,-7.167744670933319e-05,0.044808750310186746,0.04488042775689608,0.19806018518518517,0.6741828350577912,0.05610655613817547,0.07355711662810326,0.12966367276627874,2.7755575615628914e-17,0.8436615285876232,0.0034675925925925777,0.02382961333214753,0.02729720592474011
0.5,0.6,0.00034771228055614317,0.069173215116923,0.06882550283636685,0.2500787037037037,0.6702041293003898,0.07181737492196721,0.09265349818222217,0.1644708731041894,0.0,0.8073436127604569,0.004398148148148123,0.03097363548898674,0.03537178363713486
0.6000000000000001,0.6,-0.0007517559501287705,0.10207013435579164,0.10282189030592041,0.3015555555555556,0.6584452975190247,0.08402552072529021,0.1092429247372559,0.1932684454625461,-2.7755575615628914e-17,0.7730707299788001,0.0052222222222222114,0.03783077470307608,0.04305299692529829
0.7000000000000001,0.6,-9.600425586460798e-06,0.13617834887271763,0.13618794929830408,0.34981944444444446,0.6501719189653218,0.10061659408238952,0.12679067723596424,0.22740727131835373,-2.7755575615628914e-17,0.7359620532420503,0.006078703703703697,0.04603425440828959,0.05211295811199329
0.8,0.6,-0.000970390181594136,0.17654936731532864,0.17751975749692278,0.4009490740740741,0.6384766205141708,0.11372361456404971,0.14283110941341456,0.25655472397746426,0.0,0.7026894519640854,0.007249999999999979,0.0540552559628843,0.061305255962884275
0.9,0.6,-0.0012880467608096938,0.22292712551714072,0.2242151722779504,0.44962962962962966,0.6296017208845175,0.12621362449112716,0.1589103505813065,0.2851239750724337,0.0,0.6723333519309486,0.007865740740740729,0.06258330163811845,0.07044904237885918
1.0,0.6,-0.00011503833145499776,0.2754699293698616,0.2755849677013166,0.500712962962963,0.6195083008388012,0.14195347581126697,0.17389616834811603,0.315849644159383,0.0,0.6395505686219691,0.008662037037037024,0.0721417410138808,0.08080377805091782
