policy,"Corr(D,S)",interaction,predicted_Cov_over_ES,identity_error
rescue_bad,-0.7786732151178388,-0.19781514790407692,-0.19781514790407703,1.1102230246251565e-16
neutral,0.0017094722994008605,0.00041197361209305283,0.0004119736120930804,-2.7592945289756088e-17
amplify_good,0.7787637346963492,0.19789039302212663,0.19789039302212658,5.551115123125783e-17
