adaptation_accuracy_p,policy_effect,QBS_before,QBS_after,interaction,total_FP_effect,Corr_D_S
0.5,0.1023610990940801,0.38960136422871666,0.2614484164564376,-0.12815294777227906,0.3638095155505177,-0.582171552829074
0.55,0.126834956502767,0.389374437264645,0.2558105567109736,-0.13356388055367135,0.3826455132137406,-0.5925236635323061
0.6,0.15026030942870058,0.38942091582883903,0.25055763502179057,-0.1388632808070485,0.4008179444504911,-0.6045104826135165
0.65,0.17395917354793264,0.38960821131107953,0.24542320244803087,-0.14418500886304866,0.41938237599596345,-0.6177140558918913
0.7,0.19776745391064499,0.3895425022591863,0.239658597811122,-0.14988390444806426,0.43742605172176696,-0.63313730084199
0.75,0.2217447765152137,0.38952498590710993,0.23417470090198111,-0.1553502850051288,0.45591947741719485,-0.6488428327879111
0.8,0.24615361141597566,0.3896013363138995,0.22850416516835656,-0.16109717114554292,0.4746577765843322,-0.6667898339793069
0.8500000000000001,0.2696395295357882,0.3891558802481727,0.22286552866898168,-0.166290351579191,0.49250505820476986,-0.6846829214153054
0.9,0.29382332491845853,0.3896248706369027,0.21756788760405113,-0.17205698303285155,0.5113912125225096,-0.7055803202018857
0.95,0.3179604528477982,0.38982363605781317,0.21230605159952096,-0.17751758445829224,0.5302665044473192,-0.7266294454433931
1.0,0.3417221223972458,0.38999980138372264,0.20687330340346174,-0.18312649798026084,0.5485954258007076,-0.7496014961594905
