q,decision_corr_increment,fraction_policy_changed,policy_gain,QBS_gain,total_FP_gain,decomposition_error,E[S]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.0034061336656212096,0.04949074074074074,0.014071907579656262,0.018102520220200494,0.03217442779985677,1.3877787807814457e-17,0.9594749730083397
0.2,0.011901231146950282,0.09951388888888889,0.028187758059078222,0.03631674827107109,0.06450450633014931,0.0,0.9199476137725013
0.30000000000000004,0.025245435548496495,0.14942592592592593,0.042021794216144936,0.05460949815991091,0.09663129237605586,1.3877787807814457e-17,0.8814216041811838
0.4,0.044868541813593,0.19984722222222223,0.05578187825884465,0.07288667743318941,0.12866855569203406,0.0,0.8438802214032256
0.5,0.0699906172202769,0.25033796296296296,0.07034134288286084,0.09074437677876683,0.16108571966162766,0.0,0.8073911302932923
0.6000000000000001,0.09841652052029223,0.2990833333333333,0.08400582487821776,0.10852937996768977,0.19253520484590753,0.0,0.7717936937074334
0.7000000000000001,0.13364146241927427,0.34908796296296296,0.09772599695105369,0.12583152029685035,0.22355751724790401,-2.7755575615628914e-17,0.737203789655838
0.8,0.17593184461261616,0.3994027777777778,0.11217222366732316,0.14198124457874703,0.25415346824607016,-5.551115123125783e-17,0.7037422752810338
0.9,0.22219026888904855,0.44966666666666666,0.12624814523119537,0.15733011070677685,0.2835782559379722,-5.551115123125783e-17,0.6711917356758587
1.0,0.2744661957108469,0.49930092592592595,0.1404545655412075,0.1713152451795206,0.3117698107207281,5.551115123125783e-17,0.6396841203545464
