distribution,replicate,k,rho,mean_uplift,max_FOSD_violation
Student_t_df3,0,0.5,0.7067262166529957,0.12142878003187617,-0.001307395443791104
Student_t_df3,0,1.0,0.7067262166529957,0.19683804071728292,-0.0015744235430990017
Student_t_df3,0,2.0,0.7067262166529957,0.2724006766489989,-0.001633440847967349
Student_t_df3,0,4.0,0.7067262166529957,0.32044084357719277,-0.001636266847937903
Student_t_df3,1,0.5,0.705294621941573,0.11755627157203107,-0.00128945357869255
Student_t_df3,1,1.0,0.705294621941573,0.19008749449783063,-0.0015642359239870275
Student_t_df3,1,2.0,0.705294621941573,0.2635320460617451,-0.0016294316267230213
Student_t_df3,1,4.0,0.705294621941573,0.31059561690831394,-0.0016322185423357505
Student_t_df3,2,0.5,0.7072333541906278,0.12000002946277613,-0.0012883659365522382
Student_t_df3,2,1.0,0.7072333541906278,0.1947971911720037,-0.0015699514991610597
Student_t_df3,2,2.0,0.7072333541906278,0.2702807964907584,-0.0016301785742226516
Student_t_df3,2,4.0,0.7072333541906278,0.3185174785608726,-0.001632558496007075
Student_t_df3,3,0.5,0.7062337435876506,0.12310907083741936,-0.0012635784726608978
Student_t_df3,3,1.0,0.7062337435876506,0.20116235120171272,-0.0015611057271016637
Student_t_df3,3,2.0,0.7062337435876506,0.279242705407666,-0.0016268843167935865
Student_t_df3,3,4.0,0.7062337435876506,0.32819647555576176,-0.0016286823324035415
Student_t_df3,4,0.5,0.7060549468049868,0.12026053338406645,-0.0012718545145388171
Student_t_df3,4,1.0,0.7060549468049868,0.19538169989467208,-0.0015608248532220648
Student_t_df3,4,2.0,0.7060549468049868,0.2707536500723205,-0.0016274562264526615
Student_t_df3,4,4.0,0.7060549468049868,0.31836700624785597,-0.0016318839393759665
Student_t_df3,5,0.5,0.7075994625543396,0.12014796142705374,-0.0012865671183462934
Student_t_df3,5,1.0,0.7075994625543396,0.19524068220429047,-0.0015684055832575483
Student_t_df3,5,2.0,0.7075994625543396,0.27052811171839286,-0.0016306777127664818
Student_t_df3,5,4.0,0.7075994625543396,0.31774266147079505,-0.0016345680389432404
Bimodal,0,0.5,0.7068229239024472,0.13774052962338038,-0.0006092464006812581
Bimodal,0,1.0,0.7068229239024472,0.2454222820536064,-0.0010243153267459697
Bimodal,0,2.0,0.7068229239024472,0.3695977189860099,-0.0013614852438146308
Bimodal,0,4.0,0.7068229239024472,0.45478652493020383,-0.0015090503381131048
Bimodal,1,0.5,0.7081437959389493,0.13805771808516393,-0.0006318371462187278
Bimodal,1,1.0,0.7081437959389493,0.24601065957798784,-0.00105267018488453
Bimodal,1,2.0,0.7081437959389493,0.37028980138833495,-0.0014122576919100129
Bimodal,1,4.0,0.7081437959389493,0.45520813784732583,-0.001554493922163191
Bimodal,2,0.5,0.7090621583729766,0.13822770417628424,-0.000630956406310168
Bimodal,2,1.0,0.7090621583729766,0.24631175982925657,-0.0010422948093612439
Bimodal,2,2.0,0.7090621583729766,0.3706973850098075,-0.0013904122226732207
Bimodal,2,4.0,0.7090621583729766,0.45561248281806543,-0.0015500736665799986
Bimodal,3,0.5,0.7069405571027408,0.13781516356673335,-0.0006156954952108995
Bimodal,3,1.0,0.7069405571027408,0.2456719022326839,-0.0010322659366957232
Bimodal,3,2.0,0.7069405571027408,0.3701721127486152,-0.0013920967197880176
Bimodal,3,4.0,0.7069405571027408,0.45561999559970157,-0.001542580164087843
Bimodal,4,0.5,0.709436203871494,0.13845796408518715,-0.0006152403038511833
Bimodal,4,1.0,0.709436203871494,0.24694403533473844,-0.0010283534468152888
Bimodal,4,2.0,0.709436203871494,0.3719683294038359,-0.0013832513197831187
Bimodal,4,4.0,0.709436203871494,0.4575402709009387,-0.0015504149411921242
Bimodal,5,0.5,0.7060904263189566,0.13768403254614678,-0.0006050208075543129
Bimodal,5,1.0,0.7060904263189566,0.24546375570453605,-0.0010094293137466043
Bimodal,5,2.0,0.7060904263189566,0.36990957663536417,-0.001352377239484124
Bimodal,5,4.0,0.7060904263189566,0.45552394857887246,-0.0015033233296928151
Skewed_log,0,0.5,0.7062644142291064,0.13363716362852496,-0.0006907247074684261
Skewed_log,0,1.0,0.7062644142291064,0.22967431186811996,-0.0011242270612462546
Skewed_log,0,2.0,0.7062644142291064,0.3327039270526267,-0.0014600603465561293
Skewed_log,0,4.0,0.7062644142291064,0.40012655227240046,-0.0015876936540153515
Skewed_log,1,0.5,0.7070290234894916,0.13376419090216904,-0.0006857677971727337
Skewed_log,1,1.0,0.7070290234894916,0.229695597545222,-0.0011181222807097784
Skewed_log,1,2.0,0.7070290234894916,0.3324181559903081,-0.0014514758837628162
Skewed_log,1,4.0,0.7070290234894916,0.40011406754933304,-0.0015619089557845616
Skewed_log,2,0.5,0.70618729443392,0.13359184232626936,-0.0006694519515892791
Skewed_log,2,1.0,0.70618729443392,0.22936970277159732,-0.0010944774164282102
Skewed_log,2,2.0,0.70618729443392,0.3314017215427161,-0.0014318736900097817
Skewed_log,2,4.0,0.70618729443392,0.39765157209851754,-0.001562371652008883
Skewed_log,3,0.5,0.7054525463246358,0.1334087732770308,-0.0006875715068878749
Skewed_log,3,1.0,0.7054525463246358,0.22911424894577814,-0.0011181453863711472
Skewed_log,3,2.0,0.7054525463246358,0.3310518193807446,-0.0014576449800787219
Skewed_log,3,4.0,0.7054525463246358,0.39697515063763433,-0.001583191116649175
Skewed_log,4,0.5,0.709645540505867,0.13393702111199976,-0.00066040207223386
Skewed_log,4,1.0,0.709645540505867,0.22988313029050486,-0.0010846539352106358
Skewed_log,4,2.0,0.709645540505867,0.33254881947323395,-0.0014368341283353988
Skewed_log,4,4.0,0.709645540505867,0.39959069646386064,-0.0015847190444428423
Skewed_log,5,0.5,0.7043679321336537,0.13323445045530094,-0.0006801292111629207
Skewed_log,5,1.0,0.7043679321336537,0.22867422617964323,-0.0011094087535439999
Skewed_log,5,2.0,0.7043679321336537,0.3303946286429996,-0.0014500265007814706
Skewed_log,5,4.0,0.7043679321336537,0.3971393855052711,-0.001581989613618384
