gain,corr_signal_utility,delta_policy,delta_QBS,delta_total,decomposition_error,surviving_measure,"Cov(U1,S1)",P0_U>=1,P1_global_U>=1,P1_FP_U>=1
0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.15755555555555556,0.15755555555555556,0.15755555555555556
0.15,0.8817552482443556,0.5462686369651456,0.3633772496629521,0.9096458866280976,0.0,0.55,0.19985748731462366,0.15755555555555556,0.2214888888888889,0.3961252525252525
0.35,0.9240917214741166,0.5591399264783348,0.3868850141442049,0.9460249406225396,0.0,0.55,0.21278675777931272,0.15755555555555556,0.2293,0.41479999999999995
0.6,0.9366862954963981,0.5683272612997675,0.401279919405378,0.9696071807051455,0.0,0.55,0.22070395567295792,0.15755555555555556,0.23886666666666667,0.43270303030303026
0.9,0.9417057695035422,0.5751369164117422,0.41605993176691153,0.9911968481786537,0.0,0.55,0.22883296247180135,0.15755555555555556,0.2489,0.45103636363636357
