x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-3.62,0.00011916591804412649,2.1773727914942386e-05,2.043187819485148e-05
-3.61,0.00012506864153955582,2.285401368079652e-05,2.1443944403420888e-05
-3.6,0.00013118804032360203,2.3974102047249978e-05,2.2493161305601823e-05
-3.59,0.00013753143367249617,2.5135346462201104e-05,2.3580783861254173e-05
-3.58,0.00014410636316082402,2.633914200689882e-05,2.4708105146973107e-05
-3.57,0.00015092059848337142,2.758692651691712e-05,2.587645735453889e-05
-3.56,0.00015798214339656543,2.8880181727932213e-05,2.7087212809902225e-05
-3.55,0.000165299241780846,3.022043444668636e-05,2.8341785012937347e-05
-3.54,0.0001728803838252773,3.160925774752419e-05,2.964162969819122e-05
-3.53,0.00018073431233568148,3.3048272194888597e-05,3.098824591685296e-05
-3.52,0.0001888700291675473,3.453914709216462e-05,3.238317714016297e-05
-3.51,0.0001972968017849365,3.608360175726112e-05,3.3828012384476605e-05
-3.5,0.00020602416994657682,3.768340682532094e-05,3.532438735819206e-05
-3.49,0.00021506195252029577,3.93403855789517e-05,3.6873985630746776e-05
-3.48,0.00022442025442691275,4.1056415306369753e-05,3.847853982388099e-05
-3.4699999999999998,0.00023410947371466713,4.283342868785144e-05,4.013983282536112e-05
-3.46,0.00024414030876521896,4.46734152108859e-05,4.185969902534947e-05
-3.45,0.00025452376563221566,4.65784226144249e-05,4.364002557560007e-05
-3.44,0.00026527116551337127,4.8550558362625444e-05,4.548275367165367e-05
-3.4299999999999997,0.0002763941523569583,5.0591991148481794e-05,4.738987985819796e-05
-3.42,0.00028790470060355977,5.270495242774364e-05,4.9363457357751384e-05
-3.41,0.00029981512306387847,5.4891737983518025e-05,5.1405597422821364e-05
-3.4,0.0003121380789333431,5.715470952195253e-05,5.351847071167987e-05
-3.39,0.0003248865819441946,5.949629629939788e-05,5.5704308687890815e-05
-3.38,0.000338074008655676,6.191899678144822e-05,5.796540504371531e-05
-3.37,0.0003517141068828845,6.442538033425741e-05,6.030411714751226e-05
-3.36,0.00036582100426478184,6.701808894853006e-05,6.272286751524231e-05
-3.35,0.00038040921697178983,6.969983899658607e-05,6.522414530617433e-05
-3.34,0.0003954936585533259,7.247342302289733e-05,6.781050784288386e-05
-3.33,0.0004110896489255637,7.534171156849561e-05,7.048458215562347e-05
-3.32,0.00042721292349962546,7.830765502965062e-05,7.324906655113497e-05
-3.31,0.00044387964245033403,8.137428555121726e-05,7.610673220596317e-05
-3.3,0.00046110640012557284,8.454471895505109e-05,7.906042478432124e-05
-3.29,0.00047891023459621657,8.782215670389126e-05,8.211306608054688e-05
-3.2800000000000002,0.0004973086373465083,9.120988790111048e-05,8.526765568617825e-05
-3.27,0.0005163195631046706,9.471129132673107e-05,8.852727268166822e-05
-3.26,0.0005359614398134423,9.832983751010726e-05,9.189507735274479e-05
-3.25,0.0005562531787401408,0.00010206909083967351,9.537431293141526e-05
-3.24,0.0005772141847257482,0.00010593271171015941,9.896830736160082e-05
-3.23,0.0005988643665724206,0.00010992445870767193,0.00010268047508937841
-3.2199999999999998,0.0006212241475687131,0.00011404819083304658,0.00010651431887779573
-3.21,0.000644314476151708,0.00011830786976386953,0.00011047343164621574
-3.2,0.0006681568367051225,0.00012270756215557388,0.00011456149833413684
-3.19,0.0006927732604923591,0.00012725144198201402,0.00011878229778942546
-3.1799999999999997,0.0007181863367233441,0.00013194379291592357,0.00012313970468088832
-3.17,0.0007444192237538857,0.00013678901074966297,0.00012763769143510318
-3.16,0.0007714956604161546,0.0001417916058566658,0.00013228033019741843
-3.15,0.0007994399774787676,0.00014695620569399345,0.00013707179481702416
-3.14,0.0008282771092348305,0.00015228755734641032,0.00014201636285599033
-3.13,0.0008580326052161568,0.00015779053011239446,0.0001471184176221613
-3.12,0.0008887326420317565,0.00016347011813250124,0.00015238245022579125
-3.11,0.0009204040353285391,0.0001693314430604996,0.00015781306165979926
-3.1,0.0009530742518720494,0.0001753797567777055,0.00016341496490352114
-3.09,0.000986771421744898,0.00018162044415093978,0.00016919298704983212
-3.08,0.0010215243506604156,0.0001880590258345421,0.00017515207145551328
-3.07,0.0010573625323889026,0.0001947011611168776,0.00018129727991473743
-3.06,0.0010943161612936968,0.0002015526508117771,0.0001876337948555498
-3.05,0.0011324161449741358,0.00020861944019535863,0.00019416692155922605
-3.04,0.0011716941170123183,0.0002159076219886826,0.00020090209040239437
-3.0300000000000002,0.0012121824498204244,0.00022342343938670084,0.00020784485912181768
-3.02,0.001253914267585187,0.00023117328913396576,0.00021500091510174367
-3.01,0.0012969234593059374,0.00023916372464757564,0.00022237607768374186
-3.0,0.001341244691922491,0.00024740145918783707,0.00022997630049896648
-2.99,0.0013869134235289602,0.00025589336907713977,0.00023780767382279951
-2.98,0.0014339659166694141,0.000264646496967543,0.00024587642695185453
-2.9699999999999998,0.0014824392517111334,0.00027366805515758886,0.0002541889306033466
-2.96,0.0015323713402910207,0.00028296542895886543,0.0002627516993368638
-2.95,0.0015838009388305634,0.0002925461801128563,0.0002715713939986116
-2.94,0.0016367676621145523,0.00030241805025862657,0.00028065482418823917
-2.9299999999999997,0.0016913119969285833,0.0003125889644519088,0.00029000895074840076
-2.92,0.0017474753157501806,0.00032306703473616627,0.0002996408882772567
-2.91,0.0018052998904881975,0.00033386056376623,0.0003095579076641688
-2.9,0.0018648289062649568,0.0003449780484851189,0.0003197674386489111
-2.8899999999999997,0.0019261064752354037,0.0003564281838546729,0.00033027707240477995
-2.88,0.0019891776504373615,0.00036821986664064855,0.00034109456414606364
-2.87,0.0020540884396667686,0.00038036219925294284,0.00035222783576041345
-2.86,0.002120885819371598,0.0003928644936416389,0.0003636849784667454
-2.8499999999999996,0.0021896177485579574,0.0004057362752495824,0.0003754742554994022
-2.84,0.002260333182701669,0.00041898728702222755,0.00038760410481940993
-2.83,0.002333082087658434,0.0004326274934755132,0.00040008314185377967
-2.8200000000000003,0.0024079154535654847,0.0004466670848225571,0.0004129201622639326
-2.81,0.0024848853087274317,0.0004611164811599851,0.0004261241447444609
-2.8,0.00256404473347881,0.00047598633671473917,0.0004397042538535869
-2.79,0.0026454478740156272,0.0004912875441522416,0.00045366984287684305
-2.7800000000000002,0.00272914995618802,0.0005070312389468236,0.00046803045672566714
-2.77,0.002815207299245916,0.0005232288038153606,0.00048279583487279254
-2.76,0.0029036773295294084,0.0005398918732150914,0.0004979759143265177
