selector_strength,"Corr(U,S)",mean_uplift,cov_identity_rhs,tail_gain_P(U>=1)
0.0,,5.149960319306146e-19,5.174601277771725e-19,-2.7755575615628914e-17
0.25,-0.0003709385026823811,-3.737507766063262e-05,-3.7375077660632605e-05,-4.992891142677203e-05
0.5,0.000387473572635195,7.479623851151479e-05,7.47962385115148e-05,-6.99665788278514e-06
0.75,0.0008263091595035576,0.00022579842781650023,0.00022579842781650023,7.636998436238995e-05
1.0,0.0005185528306668628,0.00017658541694916922,0.00017658541694916925,-0.00014049859900738815
