metric,mean,CI95_low,CI95_high,n
recognition_corr_increment,0.2782448819050482,0.2767936156080699,0.2796961482020265,20
"Corr(Y1,U1)",0.617687361472927,0.6167872949932138,0.6185874279526402,20
policy_gain,0.14210525775684005,0.14144470517003227,0.14276581034364783,20
QBS_gain,0.17334785840783368,0.17292711903733823,0.17376859777832912,20
total_FP_gain,0.3154531161646737,0.31458592026905347,0.31632031206029393,20
tail_total_gain,0.08088318103529987,0.08065989057314189,0.08110647149745785,20
